SITE_ID,LAT,LON,texture_code,soil_texture,porosity,clay_fraction,sand_fraction,silt_fraction
CN-Ha2,37.6086,101.3269,6.0,loam,0.44699999690055800,0.23666666448116300,0.3866666853427890,0.3799999952316280
CN-HaM,37.3700,101.1800,6.0,loam,0.44699999690055800,0.23999999463558200,0.38999998569488500,0.3700000047683720
CN-Qia,26.7414,115.0581,9.0,clay loam,0.44999998807907100,0.37888890504837000,0.3077777922153470,0.31333333253860500
CN-Sw2,41.7902,111.8971,6.0,loam,0.43700000643730200,0.2199999988079070,0.4699999988079070,0.3100000023841860
CZ-BK1,49.50208,18.53688,6.0,loam,0.41200000047683700,0.2011111080646520,0.4888888895511630,0.3122222125530240
CZ-BK2,49.49443,18.54285,6.0,loam,0.44699999690055800,0.22111110389232600,0.4555555582046510,0.31555554270744300
CZ-wet,49.02465,14.77035,6.0,loam,0.43700000643730200,0.24666665494442000,0.45333331823349,0.30666667222976700
DE-Akm,53.86617,13.68342,6.0,loam,0.44699999690055800,0.20000000298023200,0.4399999976158140,0.36000001430511500
DE-Geb,51.09973,10.91463,9.0,clay loam,0.44699999690055800,0.273333340883255,0.35333332419395400,0.3733333349227910
DE-Gri,50.94947,13.51253,6.0,loam,0.41200000047683700,0.19333334267139400,0.5,0.30666667222976700
DE-Hai,51.07921,10.45217,9.0,clay loam,0.44699999690055800,0.2688888907432560,0.36666667461395300,0.36444443464279200
DE-Kli,50.89306,13.52238,6.0,loam,0.41200000047683700,0.19333334267139400,0.5,0.30666667222976700
DE-Lkb,49.09962,13.30467,3.0,sandy loam,0.4189999997615810,0.18333333730697600,0.5299999713897710,0.2866666615009310
DE-Lnf,51.32822,10.3678,6.0,loam,0.43700000643730200,0.23666666448116300,0.4099999964237210,0.34666669368743900
DE-Obe,50.78666,13.72129,6.0,loam,0.41200000047683700,0.19333334267139400,0.5,0.30666667222976700
DE-RuR,50.62191,6.30413,6.0,loam,0.41200000047683700,0.20000000298023200,0.47999998927116400,0.3199999928474430
DE-RuS,50.86591,6.44717,6.0,loam,0.43700000643730200,0.20999999344348900,0.4399999976158140,0.3400000035762790
DE-Seh,50.87062,6.44965,6.0,loam,0.43700000643730200,0.20999999344348900,0.4399999976158140,0.3400000035762790
DE-SfN,47.80639,11.3275,6.0,loam,0.43700000643730200,0.2199999988079070,0.41999998688697800,0.36000001430511500
DE-Spw,51.89225,14.03369,6.0,loam,0.44699999690055800,0.25555554032325700,0.3888888955116270,0.35555556416511500
DE-Tha,50.96256,13.56515,6.0,loam,0.41200000047683700,0.19333334267139400,0.5,0.30666667222976700
DE-Zrk,53.87594,12.88901,6.0,loam,0.44699999690055800,0.20000000298023200,0.4399999976158140,0.36000001430511500
DK-Eng,55.69053,12.19175,6.0,loam,0.43700000643730200,0.1899999976158140,0.49125000834465000,0.3187499940395360
DK-Fou,56.4842,9.58722,3.0,sandy loam,0.4189999997615810,0.1599999964237210,0.5600000023841860,0.2866666615009310
DK-Sor,55.48587,11.64464,6.0,loam,0.43700000643730200,0.20666666328907000,0.4466666877269750,0.34666669368743900
ES-Amo,36.83361,-2.25232,9.0,clay loam,0.44699999690055800,0.2800000011920930,0.3700000047683720,0.36000001430511500
ES-LJu,36.92659,-2.75212,9.0,clay loam,0.44699999690055800,0.2800000011920930,0.3700000047683720,0.36000001430511500
ES-LgS,37.09794,-2.96583,6.0,loam,0.44699999690055800,0.26222220063209500,0.4322222173213960,0.31555554270744300
ES-Ln2,36.9695,-3.47582,6.0,loam,0.44699999690055800,0.2644444406032560,0.3955555856227880,0.3455555737018590
FI-Hyy,61.84741,24.29477,6.0,loam,0.4189999997615810,0.15000000596046400,0.5099999904632570,0.3400000035762790
FI-Jok,60.8986,23.51345,9.0,clay loam,0.44699999690055800,0.29777777194976800,0.42444443702697800,0.2777777910232540
FI-Let,60.64183,23.95952,6.0,loam,0.4189999997615810,0.15000000596046400,0.5099999904632570,0.3400000035762790
FI-Lom,67.99724,24.20918,6.0,loam,0.43700000643730200,0.17629629373550400,0.49296295642852800,0.330740749835968
FI-Sod,67.36239,26.63859,3.0,sandy loam,0.4189999997615810,0.14777778089046500,0.5377777814865110,0.3144444525241850
FR-Fon,48.47636,2.7801,6.0,loam,0.44699999690055800,0.2244444489479070,0.43888890743255600,0.3377777934074400
FR-Gri,48.84422,1.95191,6.0,loam,0.43700000643730200,0.21555554866790800,0.402222216129303,0.3822222054004670
FR-LBr,44.71711,-0.7693,2.0,loamy sand,0.38600000739097600,0.05999999865889550,0.8500000238418580,0.10000000149011600
FR-Pue,43.7413,3.5957,9.0,clay loam,0.44699999690055800,0.32777777314186100,0.36222222447395300,0.3100000023841860
GF-Guy,5.27877,-52.92486,,,0.44999998807907100,0.41999998688697800,0.18000000715255700,0.38999998569488500
GH-Ank,5.26854,-2.69421,3.0,sandy loam,0.41200000047683700,0.14000000059604600,0.800000011920929,0.05999999865889550
GL-NuF,64.13083,-51.38611,6.0,loam,0.4189999997615810,0.23000000417232500,0.4000000059604650,0.3700000047683720
GL-ZaF,74.48143,-20.55452,,,0.43700000643730200,0.23000000417232500,0.4000000059604650,0.3700000047683720
GL-ZaH,74.47328,-20.5503,,,0.43700000643730200,0.23000000417232500,0.4000000059604650,0.3700000047683720
IT-BCi,40.52375,14.95744,9.0,clay loam,0.44699999690055800,0.25999999046325700,0.3871428668498990,0.35285714268684400
IT-CA1,42.38041,12.02656,6.0,loam,0.43700000643730200,0.20000000298023200,0.46000000834465000,0.3400000035762790
IT-CA2,42.37722,12.02604,6.0,loam,0.43700000643730200,0.20000000298023200,0.46000000834465000,0.3400000035762790
IT-CA3,42.3800,12.0222,6.0,loam,0.43700000643730200,0.20000000298023200,0.46000000834465000,0.3400000035762790
IT-Col,41.84936,13.58814,9.0,clay loam,0.44699999690055800,0.2800000011920930,0.3400000035762790,0.3799999952316280
IT-Cp2,41.70427,12.35729,,,,,,
IT-Cpz,41.70525,12.37611,,,,,,
IT-Isp,45.81264,8.63358,6.0,loam,0.43700000643730200,0.2566666603088380,0.38333332538604700,0.36000001430511500
IT-La2,45.9542,11.2853,6.0,loam,0.44699999690055800,0.22777777910232500,0.3799999952316280,0.3911111056804660
IT-Lav,45.9562,11.28132,6.0,loam,0.44699999690055800,0.22777777910232500,0.3799999952316280,0.3911111056804660
IT-MBo,46.01468,11.04583,6.0,loam,0.44699999690055800,0.2199999988079070,0.3499999940395360,0.4300000071525570
IT-Noe,40.60618,8.15169,,,,,,
